cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,COMUNA,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_planillas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,55
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,642
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,11.11.11,El Movimiento,63
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,12.12.12,Frente Patriota Federal,35
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,13.13.13,La Izquierda en la Ciudad,70
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,14.14.14,La Libertad Avanza,9613
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,15.15.15,Seamos Libres,202
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,16.16.16,Unión del Centro Democrático,884
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,208
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,2.2.2,Buenos Aires Primero,6302
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,3.3.3,Volvamos Buenos Aires,1992
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,4.4.4,Es Ahora Buenos Aires,4831
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,5.5.5,Evolución,467
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,653
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,7.7.7,Principios y Valores,312
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,8.8.8,Unión Porteña Libertaria,249
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Lista,9.9.9,Movimiento Plural,56
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Blanco,BLC,Voto en BLANCO,464
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,9
DIP,CABA.1.1,Localidad,Retiro,Comuna 01,27098,48,37.4685,100,27146,2025-05-18 20:15:01,Especial,NUL,Votos NULOS,20
